Nombre,PlazasRotatorias,Tipo,PlazasResidentes,PlazasTotales,PlazasResidentesLibres,PlazasRotatoriasLibres,Precios,Latitud,Longitud,Precios-Coste,Precios-Tiempo,parkings-uri,parkings-fares-uri,fare1-uri,fare2-uri,fares-price1-uri,fares-time1-uri,fares-price2-uri,fares-time2-uri
Antiguo Berri,489,Rotatorio,0,489,0,179,15 min:0.60;30 min:1.35;60 min:2.25;90 min:3.10;120 min:4.10;180 min:6;300 min:9.15;300 min:14.55;300 min:15.85;300 min:15.85;,43.310188,-2.007963,0.60,15,https://github.com/Eurohelp/id/Parkings/Antiguo-Berri-Rotatorio,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare1/Antiguo-Berri,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare2/Antiguo-Berri,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Antiguo-Berri/fare2/Time
Arcco,214,Rotatorio,0,214,0,94,15 min:0.59;30 min:1.00;60 min:1.80;90 min:2.60;120 min:3.37;180 min:4.91;300 min:7.97;300 min:14.00;300 min:18.52;300 min:21.54;,43.30563,-1.97371,0.59,15,https://github.com/Eurohelp/id/Parkings/Arcco-Rotatorio,https://github.com/Eurohelp/id/Parkings/fares/Arcco,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare1/Arcco,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare2/Arcco,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Arcco/fare2/Time
Atotxa,210,Rotatorio,0,210,0,148,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.31855,-1.97548,0.66,15,https://github.com/Eurohelp/id/Parkings/Atotxa-Rotatorio,https://github.com/Eurohelp/id/Parkings/fares/Atotxa,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare1/Atotxa,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare2/Atotxa,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Atotxa/fare2/Time
Boulevard,381,Mixto,135,516,0,263,15 min:0.79;30 min:1.33;60 min:2.40;90 min:3.47;120 min:4.49;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32283,-1.98192,0.79,15,https://github.com/Eurohelp/id/Parkings/Boulevard-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Boulevard,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare1/Boulevard,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare2/Boulevard,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Boulevard/fare2/Time
Buen Pastor,384,Mixto,583,967,1,256,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.31715,-1.98102,0.66,15,https://github.com/Eurohelp/id/Parkings/Buen-Pastor-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare1/Buen-Pastor,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare2/Buen-Pastor,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Buen-Pastor/fare2/Time
Easo,146,Mixto,266,412,0,114,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.313157,-1.982078,0.66,15,https://github.com/Eurohelp/id/Parkings/Easo-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Easo,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare1/Easo,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare2/Easo,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Easo/fare2/Time
Illumbe,500,Rotatorio,0,500,0,0,15 min:0.50;30 min:0.75;60 min:1.50;90 min:2.20;120 min:2.80;180 min:4.30;300 min:7;300 min:12.55;300 min:16.70;300 min:19.50;,43.29809,-1.97004,0.50,15,https://github.com/Eurohelp/id/Parkings/Illumbe-Rotatorio,https://github.com/Eurohelp/id/Parkings/fares/Illumbe,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare1/Illumbe,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare2/Illumbe,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Illumbe/fare2/Time
Katalunia,456,Mixto,483,939,84,313,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.323848,-1.975168,0.66,15,https://github.com/Eurohelp/id/Parkings/Katalunia-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Katalunia,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare1/Katalunia,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare2/Katalunia,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Katalunia/fare2/Time
Kontxa,655,Mixto,619,1274,87,444,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.318622,-1.984886,0.79,15,https://github.com/Eurohelp/id/Parkings/Kontxa-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Kontxa,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare1/Kontxa,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare2/Kontxa,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Kontxa/fare2/Time
Kursaal,300,Mixto,200,500,0,195,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32468,-1.97728,0.79,15,https://github.com/Eurohelp/id/Parkings/Kursaal-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Kursaal,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare1/Kursaal,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare2/Kursaal,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Kursaal/fare2/Time
Okendo,748,Mixto,744,1492,27,483,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32111,-1.979149,0.79,15,https://github.com/Eurohelp/id/Parkings/Okendo-Mixto,https://github.com/Eurohelp/id/Parkings/fares/Okendo,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare1/Okendo,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare2/Okendo,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare1/Price,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare1/Time,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare2/Price,https://github.com/Eurohelp/id/Parkings/fares/Okendo/fare2/Time
